"formatted_address","type","tot","lat","lon"
"Lafayette Street, New York, NY, USA","route",28,40.7222848,-73.9971666
"Park Slope, Brooklyn, NY, USA","neighborhood",28,40.6681038,-73.9805817
"Robert F. Kennedy Bridge, New York, NY, USA","route",27,40.7904500,-73.9259103
"Lower Manhattan, New York, NY, USA","neighborhood",27,40.7230084,-74.0006328
"City Island Road, Bronx, NY, USA","route",26,40.8604710,-73.8029474
"Ludlow Street, New York, NY 10002, USA","route",26,40.7186876,-73.9890616
"Saint Nicholas Avenue, New York, NY, USA","route",25,40.8284542,-73.9423085
"Waverly Place, New York, NY, USA","route",24,40.7329499,-74.0000717
"Seventieth Street Playground, New York, NY 10023, USA","park",23,40.7773894,-73.9840130
"56 Beaver Street, New York, NY 10004, USA","street_address",23,40.7050156,-74.0103234
"Beekman Place, New York, NY 10022, USA","route",23,40.7533089,-73.9647957
"Fifth Avenue Hotel, 200 5th Avenue, New York, NY 10010, USA","premise",22,40.7421643,-73.9898936
"Astor Place, New York, NY 10003, USA","route",21,40.7298300,-73.9914232
"St. Mark’s, 131 East 10th Street, New York, NY 10003, USA","church",21,40.7303309,-73.9871178
"Fort Hamilton, Brooklyn, NY, USA","neighborhood",20,40.6091000,-74.0315000
"Chrystie Street, New York, NY 10002, USA","route",19,40.7199134,-73.9929374
"Whitehall Street, New York, NY 10004, USA","route",19,40.7026540,-74.0128983
"Chambers Street, New York, NY, USA","route",17,40.7163028,-74.0109746
"Flatiron Building, 175 5th Avenue, New York, NY 10010, USA","point_of_interest",17,40.7410605,-73.9896986
"General Grant National Memorial, West 122nd Street, New York, NY 10027, USA","park",17,40.8134045,-73.9630671
"Norfolk Street, New York, NY 10002, USA","route",16,40.7195556,-73.9867495
"Bowery, New York, NY, USA","neighborhood",14,40.7252570,-73.9903489
"Chatham Square, New York, NY, USA","route",12,40.7136544,-73.9979737
"Fraunces Tavern Museum, 54 Pearl Street, New York, NY 10004, USA","museum",11,40.7034329,-74.0112886
"The Cooper Union, 30 Cooper Square, New York, NY 10003, USA","point_of_interest",10,40.7280822,-73.9916086
"Vesey Street, New York, NY, USA","route",10,40.7131915,-74.0125563
"Cobble Hill, Brooklyn, NY, USA","neighborhood",9,40.6865360,-73.9962255
"Duane Street, New York, NY, USA","route",8,40.7157703,-74.0065777
"The Woolworth Building, 233 Broadway, New York, NY 10007, USA","point_of_interest",7,40.7124300,-74.0083547
"Walgreens, 145 4th Avenue, New York, NY 10003, USA","pharmacy",6,40.7342600,-73.9897630
"Middle Village, Queens, NY, USA","neighborhood",5,40.7173720,-73.8742500
"Barclay Street, New York, NY 10007, USA","route",5,40.7133436,-74.0110289
"Charlton Street, New York, NY, USA","route",5,40.7271145,-74.0055800
"Stuyvesant Square, New York, NY 10003, USA","park",5,40.7336111,-73.9840000
"Irving Place, New York, NY 10003, USA","route",4,40.7358757,-73.9874033
"Whitestone, Queens, NY, USA","neighborhood",3,40.7920449,-73.8095574
"Baskerville Hall, New York, NY 10031, USA","premise",2,40.8215076,-73.9490585
